n_features,accuracy,precision,recall,f1_score
35,0.04700390379733013,0.9987758433079434,0.04037277325709259,0.07760843831910036
36,0.04700390379733013,0.9987758433079434,0.04037277325709259,0.07760843831910036
37,0.04700390379733013,0.9987758433079434,0.04037277325709259,0.07760843831910036
38,0.04700390379733013,0.9987758433079434,0.04037277325709259,0.07760843831910036
39,0.9529960962026699,0.9927987577003805,0.9596272267429075,0.9759312016506236
40,0.9529960962026699,0.9927987577003805,0.9596272267429075,0.9759312016506236
41,0.9529960962026699,0.9927987577003805,0.9596272267429075,0.9759312016506236
42,0.9529960962026699,0.9927987577003805,0.9596272267429075,0.9759312016506236
43,0.04712948049466299,0.9987796610169491,0.04049923026171102,0.07784206493883913
44,0.952870519505337,0.9927978154511321,0.959500769738289,0.9758653469775764
45,0.952870519505337,0.9927978154511321,0.959500769738289,0.9758653469775764
46,0.952870519505337,0.9927978154511321,0.959500769738289,0.9758653469775764
47,0.952870519505337,0.9927978154511321,0.959500769738289,0.9758653469775764
48,0.952870519505337,0.9927978154511321,0.959500769738289,0.9758653469775764
49,0.952870519505337,0.9927978154511321,0.959500769738289,0.9758653469775764
50,0.952870519505337,0.9927978154511321,0.959500769738289,0.9758653469775764
51,0.9526848843875406,0.9927459548030313,0.9593633164723994,0.9757692006576372
52,0.9526848843875406,0.9927459548030313,0.9593633164723994,0.9757692006576372
53,0.9526848843875406,0.9927459548030313,0.9593633164723994,0.9757692006576372
54,0.9526848843875406,0.9927459548030313,0.9593633164723994,0.9757692006576372
55,0.9526848843875406,0.9927459548030313,0.9593633164723994,0.9757692006576372
56,0.9526848843875406,0.9927459548030313,0.9593633164723994,0.9757692006576372
57,0.9526848843875406,0.9927459548030313,0.9593633164723994,0.9757692006576372
58,0.9526848843875406,0.9927459548030313,0.9593633164723994,0.9757692006576372
59,0.9520351614752532,0.9927410401662444,0.9587090389267648,0.9754282917278512
60,0.9515164751167045,0.992737111933922,0.9581867165163844,0.9751559745964244
61,0.9515164751167045,0.992737111933922,0.9581867165163844,0.9751559745964244
62,0.9509704894761267,0.9927329723567968,0.957636903452826,0.9748691685556768
63,0.9509704894761267,0.9927329723567968,0.957636903452826,0.9748691685556768
64,0.9509704894761267,0.9927329723567968,0.957636903452826,0.9748691685556768
65,0.9509704894761267,0.9927329723567968,0.957636903452826,0.9748691685556768
66,0.9510960661734597,0.9927339248773316,0.9577633604574445,0.9749351481588233
67,0.9510960661734597,0.9927339248773316,0.9577633604574445,0.9749351481588233
68,0.9517785482241817,0.992739097256233,0.9584506267868924,0.9752935845003049
69,0.9517785482241817,0.992739097256233,0.9584506267868924,0.9752935845003049
70,0.6920968578526385,0.9938138487934643,0.6942599516164504,0.8174585191850792
71,0.69210777756545,0.9938217192148467,0.694265449747086,0.8174649929759369
72,0.6921132374218558,0.9938295410721172,0.694265449747086,0.817467639033201
73,0.6921132374218558,0.9938295410721172,0.694265449747086,0.817467639033201
74,0.69210777756545,0.9938217192148467,0.694265449747086,0.8174649929759369
75,0.69210777756545,0.9938217192148467,0.694265449747086,0.8174649929759369
76,0.6920095001501461,0.9938130696934871,0.694171981526281,0.8173972718032384
77,0.6919112227348421,0.993812192971407,0.6940730151748405,0.8173283609147178
78,0.6919112227348421,0.993812192971407,0.6940730151748405,0.8173283609147178
79,0.6919112227348421,0.993812192971407,0.6940730151748405,0.8173283609147178
80,0.6919112227348421,0.993812192971407,0.6940730151748405,0.8173283609147178
81,0.6919112227348421,0.993812192971407,0.6940730151748405,0.8173283609147178
82,0.6919112227348421,0.993812192971407,0.6940730151748405,0.8173283609147178
83,0.6919112227348421,0.993812192971407,0.6940730151748405,0.8173283609147178
84,0.6906663754743251,0.9938322238697669,0.692797448867385,0.8164500369328859
85,0.6906663754743251,0.9938322238697669,0.692797448867385,0.8164500369328859
86,0.6906663754743251,0.9938322238697669,0.692797448867385,0.8164500369328859
87,0.6907591930332232,0.9938330507472103,0.6928909170881901,0.8165152177786417
88,0.6907591930332232,0.9938330507472103,0.6928909170881901,0.8165152177786417
89,0.6907591930332232,0.9938330507472103,0.6928909170881901,0.8165152177786417
90,0.6907591930332232,0.9938330507472103,0.6928909170881901,0.8165152177786417
91,0.6907591930332232,0.9938330507472103,0.6928909170881901,0.8165152177786417
92,0.6907591930332232,0.9938330507472103,0.6928909170881901,0.8165152177786417
93,0.6907428134640059,0.9938329048437722,0.6928744226962833,0.8165037157981353
94,0.67505664601021,0.9942642484953751,0.6766824279744886,0.8052933767359691
