,MI_Score
168,0.010299787286058293
78,0.01012023556673558
97,0.01002295393551944
367,0.00990647858021021
180,0.009472741914736349
82,0.009356964322518646
70,0.009344954138753359
34,0.008909675691073815
108,0.008903395262664482
102,0.008874817872689289
14,0.008832191468697181
73,0.008777445556591323
8,0.008487846050222347
83,0.00838164844469147
253,0.00820512185166633
339,0.00784775749509703
344,0.007822098477060835
71,0.0078035306549868455
176,0.007682395180288792
316,0.007594639404105874
112,0.007291860008347806
103,0.007138796540504977
324,0.006852667216737163
251,0.006585196295568974
144,0.006512567533256908
315,0.006359643342314203
87,0.006172873863025008
363,0.005791221728287166
250,0.005558530483627866
113,0.005481315532669284
88,0.005367847268377579
384,0.0050700087079290634
2,0.00454670120181544
224,0.004457861760423287
319,0.004331168832807264
219,0.0038569695951101712
304,0.00368566291823591
189,0.003597627067099096
394,0.003538921930610006
329,0.0033071393717093445
314,0.0029739017863733563
389,0.002945332742968154
248,0.0028789848130867934
299,0.0022775072059862955
294,0.0020902004971041777
214,0.0011115522660362087
239,0.0008940175226374025
247,0.000857732057414462
245,0.000797091390260185
254,0.0007778556330823028
243,0.0007392996086511561
149,0.0007024689363164249
242,0.0005049762200598495
246,0.0004982343519089882
54,0.0004362597325482387
240,0.0003964590627777431
241,0.0003275773888371525
274,0.00030756361195793946
154,0.00029180068064060816
158,5.9411297949618636e-05
249,3.0290913890840265e-05
155,0.0
244,0.0
156,0.0
157,0.0
